,dt,sensor,con,spl,date,time
0,2016-06-21 00:00:00,sensor_0,2834.03125,66.3084790577,2016-06-21,00:00:00
4,2016-06-21 04:00:00,sensor_0,2748.28875,81.4674363436,2016-06-21,04:00:00
8,2016-06-21 08:00:00,sensor_0,2720.35125,80.0205999133,2016-06-21,08:00:00
12,2016-06-21 12:00:00,sensor_0,2443.72875,76.5258758139,2016-06-21,12:00:00
16,2016-06-21 16:00:00,sensor_0,2717.49625,80.0205999133,2016-06-21,16:00:00
20,2016-06-21 20:00:00,sensor_0,2839.575,72.0617997398,2016-06-21,20:00:00
24,2016-06-22 00:00:00,sensor_0,2451.52875,66.3084790577,2016-06-22,00:00:00
28,2016-06-22 04:00:00,sensor_0,2161.75,69.9176003469,2016-06-22,04:00:00
32,2016-06-22 08:00:00,sensor_0,2714.7975,77.0762972869,2016-06-22,08:00:00
36,2016-06-22 12:00:00,sensor_0,2786.37125,88.6478751965,2016-06-22,12:00:00
40,2016-06-22 16:00:00,sensor_0,2547.83625,80.6991223227,2016-06-22,16:00:00
44,2016-06-22 20:00:00,sensor_0,2470.1975,69.9176003469,2016-06-22,20:00:00
48,2016-06-23 00:00:00,sensor_0,2349.26,64.881360887,2016-06-23,00:00:00
52,2016-06-23 04:00:00,sensor_0,2857.1825,67.5338721925,2016-06-23,04:00:00
56,2016-06-23 08:00:00,sensor_0,3342.97625,72.5883785143,2016-06-23,08:00:00
60,2016-06-23 12:00:00,sensor_0,7509.04875,76.8446598359,2016-06-23,12:00:00
64,2016-06-23 16:00:00,sensor_0,2972.10125,75.0230504489,2016-06-23,16:00:00
68,2016-06-23 20:00:00,sensor_0,2769.56375,73.3228346548,2016-06-23,20:00:00
72,2016-06-24 00:00:00,sensor_0,2883.735,63.1727569805,2016-06-24,00:00:00
76,2016-06-24 04:00:00,sensor_0,2784.95875,72.9633672345,2016-06-24,04:00:00
80,2016-06-24 08:00:00,sensor_0,2918.5975,76.686730219,2016-06-24,08:00:00
84,2016-06-24 12:00:00,sensor_0,4268.22375,85.8490870111,2016-06-24,12:00:00
88,2016-06-24 16:00:00,sensor_0,3416.27875,78.7357819882,2016-06-24,16:00:00
92,2016-06-24 20:00:00,sensor_0,3353.78875,74.5265787744,2016-06-24,20:00:00
96,2016-06-25 00:00:00,sensor_0,2836.56,68.4031860681,2016-06-25,00:00:00
100,2016-06-25 04:00:00,sensor_0,3017.26,67.9794000867,2016-06-25,04:00:00
104,2016-06-25 08:00:00,sensor_0,3158.91375,76.5258758139,2016-06-25,08:00:00
108,2016-06-25 12:00:00,sensor_0,2709.1875,78.4152330795,2016-06-25,12:00:00
112,2016-06-25 16:00:00,sensor_0,2236.9425,79.6886146769,2016-06-25,16:00:00
116,2016-06-25 20:00:00,sensor_0,2594.2475,75.0230504489,2016-06-25,20:00:00
120,2016-06-26 00:00:00,sensor_0,2156.685,69.5630250077,2016-06-26,00:00:00
124,2016-06-26 04:00:00,sensor_0,2129.61875,67.7594924007,2016-06-26,04:00:00
128,2016-06-26 08:00:00,sensor_0,2355.6325,71.5012252678,2016-06-26,08:00:00
132,2016-06-26 12:00:00,sensor_0,2862.50375,83.8970004336,2016-06-26,12:00:00
136,2016-06-26 16:00:00,sensor_0,3342.08,82.3825861548,2016-06-26,16:00:00
140,2016-06-26 20:00:00,sensor_0,2821.91125,74.3197621077,2016-06-26,20:00:00
144,2016-06-27 00:00:00,sensor_0,2570.56125,71.2067601314,2016-06-27,00:00:00
148,2016-06-27 04:00:00,sensor_0,3148.09875,73.5544721058,2016-06-27,04:00:00
152,2016-06-27 08:00:00,sensor_0,2693.875,79.3434345681,2016-06-27,08:00:00
156,2016-06-27 12:00:00,sensor_0,3524.3525,84.3042260866,2016-06-27,12:00:00
160,2016-06-27 16:00:00,sensor_0,4123.045,85.0958381948,2016-06-27,16:00:00
164,2016-06-27 20:00:00,sensor_0,42612.265,76.7660539633,2016-06-27,20:00:00
168,2016-06-28 00:00:00,sensor_0,3011.03625,71.5012252678,2016-06-28,00:00:00
172,2016-06-28 04:00:00,sensor_0,2623.94625,74.8278537032,2016-06-28,04:00:00
176,2016-06-28 08:00:00,sensor_0,3482.635,74.8278537032,2016-06-28,08:00:00
180,2016-06-28 12:00:00,sensor_0,2960.315,77.8764005203,2016-06-28,12:00:00
184,2016-06-28 16:00:00,sensor_0,10970.135,75.2139568071,2016-06-28,16:00:00
188,2016-06-28 20:00:00,sensor_0,2165.5275,64.5654755433,2016-06-28,20:00:00
192,2016-06-29 00:00:00,sensor_0,2523.52625,70.0896037821,2016-06-29,00:00:00
196,2016-06-29 04:00:00,sensor_0,10369.65375,75.0230504489,2016-06-29,04:00:00
200,2016-06-29 08:00:00,sensor_0,2930.27,73.3228346548,2016-06-29,08:00:00
204,2016-06-29 12:00:00,sensor_0,1895.61,74.340666786,2016-06-29,12:00:00
208,2016-06-29 16:00:00,sensor_0,1920.22125,71.5012252678,2016-06-29,16:00:00
212,2016-06-29 20:00:00,sensor_0,2195.10375,67.5338721925,2016-06-29,20:00:00
216,2016-06-30 00:00:00,sensor_0,2407.35625,75.762721774,2016-06-30,00:00:00
220,2016-06-30 04:00:00,sensor_0,2020.09875,75.8509041521,2016-06-30,04:00:00
224,2016-06-30 08:00:00,sensor_0,2908.5325,78.7984962652,2016-06-30,08:00:00
228,2016-06-30 12:00:00,sensor_0,3239.755,78.9225825133,2016-06-30,12:00:00
232,2016-06-30 16:00:00,sensor_0,2553.5475,75.1190281066,2016-06-30,16:00:00
236,2016-06-30 20:00:00,sensor_0,2713.84,66.0411998266,2016-06-30,20:00:00
240,2016-07-01 00:00:00,sensor_0,2884.055,74.3197621077,2016-07-01,00:00:00
244,2016-07-01 04:00:00,sensor_0,3095.6,79.0449210095,2016-07-01,04:00:00
248,2016-07-01 08:00:00,sensor_0,3168.89,84.661453201,2016-07-01,08:00:00
252,2016-07-01 12:00:00,sensor_0,2636.56875,77.2273600447,2016-07-01,12:00:00
256,2016-07-01 16:00:00,sensor_0,2126.215,77.1521570672,2016-07-01,16:00:00
260,2016-07-01 20:00:00,sensor_0,2405.83875,76.1949447543,2016-07-01,20:00:00
264,2016-07-02 00:00:00,sensor_0,2271.68125,82.7866538766,2016-07-02,00:00:00
268,2016-07-02 04:00:00,sensor_0,2269.195,85.2458572891,2016-07-02,04:00:00
272,2016-07-02 08:00:00,sensor_0,2199.9925,85.904411336,2016-07-02,08:00:00
276,2016-07-02 12:00:00,sensor_0,2597.7,77.7363024889,2016-07-02,12:00:00
280,2016-07-02 16:00:00,sensor_0,1569.4825,70.2582671329,2016-07-02,16:00:00
284,2016-07-02 20:00:00,sensor_0,1647.84875,60.5471786877,2016-07-02,20:00:00
288,2016-07-03 00:00:00,sensor_0,2413.36875,66.567778601,2016-07-03,00:00:00
292,2016-07-03 04:00:00,sensor_0,1953.63625,73.3228346548,2016-07-03,04:00:00
296,2016-07-03 08:00:00,sensor_0,2372.84125,80.6991223227,2016-07-03,08:00:00
300,2016-07-03 12:00:00,sensor_0,2606.55125,80.5471786877,2016-07-03,12:00:00
304,2016-07-03 16:00:00,sensor_0,2241.1675,72.8401610604,2016-07-03,16:00:00
308,2016-07-03 20:00:00,sensor_0,2005.8275,60.5471786877,2016-07-03,20:00:00
312,2016-07-04 00:00:00,sensor_0,1711.7475,69.0024505357,2016-07-04,00:00:00
316,2016-07-04 04:00:00,sensor_0,1924.13875,79.4019256284,2016-07-04,04:00:00
320,2016-07-04 08:00:00,sensor_0,2371.32375,85.4806253546,2016-07-04,08:00:00
324,2016-07-04 12:00:00,sensor_0,2338.81875,82.9818506224,2016-07-04,12:00:00
328,2016-07-04 16:00:00,sensor_0,2983.3925,71.5012252678,2016-07-04,16:00:00
332,2016-07-04 20:00:00,sensor_0,1593.78875,66.3084790577,2016-07-04,20:00:00
336,2016-07-05 00:00:00,sensor_0,2441.99875,73.5544721058,2016-07-05,00:00:00
340,2016-07-05 04:00:00,sensor_0,2036.97625,74.7285853125,2016-07-05,04:00:00
344,2016-07-05 08:00:00,sensor_0,1557.736,75.583624921,2016-07-05,08:00:00
348,2016-07-05 12:00:00,sensor_0,2692.825,71.5012252678,2016-07-05,12:00:00
352,2016-07-05 16:00:00,sensor_0,2438.2675,73.5544721058,2016-07-05,16:00:00
356,2016-07-05 20:00:00,sensor_0,2088.87875,66.567778601,2016-07-05,20:00:00
360,2016-07-06 00:00:00,sensor_0,2854.5725,70.4237176522,2016-07-06,00:00:00
364,2016-07-06 04:00:00,sensor_0,2486.30875,74.8278537032,2016-07-06,04:00:00
368,2016-07-06 08:00:00,sensor_0,2857.81375,81.5132722792,2016-07-06,08:00:00
372,2016-07-06 12:00:00,sensor_0,2734.44,79.7448342236,2016-07-06,12:00:00
376,2016-07-06 16:00:00,sensor_0,2680.4325,70.74545405,2016-07-06,16:00:00
380,2016-07-06 20:00:00,sensor_0,2240.76,66.0411998266,2016-07-06,20:00:00
384,2016-07-07 00:00:00,sensor_0,2311.30875,70.74545405,2016-07-07,00:00:00
388,2016-07-07 04:00:00,sensor_0,2807.6,80.340362021,2016-07-07,04:00:00
392,2016-07-07 08:00:00,sensor_0,3207.6675,84.3042260866,2016-07-07,08:00:00
396,2016-07-07 12:00:00,sensor_0,3703.2,76.7660539633,2016-07-07,12:00:00
409,2016-07-08 04:00:00,sensor_0,2546.04285714,80.6198643808,2016-07-08,04:00:00
413,2016-07-08 08:00:00,sensor_0,2715.86166667,82.0738467512,2016-07-08,08:00:00
429,2016-07-09 04:00:00,sensor_0,3919.89,87.0642502755,2016-07-09,04:00:00
433,2016-07-09 08:00:00,sensor_0,3987.2875,74.5265787744,2016-07-09,08:00:00
437,2016-07-09 12:00:00,sensor_0,3971.27666667,78.4369749923,2016-07-09,12:00:00
462,2016-07-10 20:00:00,sensor_0,2173.72375,75.583624921,2016-07-10,20:00:00
466,2016-07-11 00:00:00,sensor_0,2542.76875,76.7660539633,2016-07-11,00:00:00
470,2016-07-11 04:00:00,sensor_0,2820.72375,74.0,2016-07-11,04:00:00
474,2016-07-11 08:00:00,sensor_0,2030.015,69.3801574189,2016-07-11,08:00:00
478,2016-07-11 12:00:00,sensor_0,1844.7425,72.4596963142,2016-07-11,12:00:00
482,2016-07-11 16:00:00,sensor_0,1854.35166667,75.8216093869,2016-07-11,16:00:00
